epoch,train_loss,train_ppl,val_loss,val_ppl,experiment,label
1,7.189754814296574,1325.778103916704,6.454379244430163,635.4791265831236,control,Control
2,6.395257054747163,598.9972785285789,5.959651103101066,387.4749118564034,control,Control
3,6.014289387694367,409.2349281906362,5.712970224835494,302.7690261351117,control,Control
4,5.774533719092339,321.9942599335965,5.571794969169939,262.90558338071384,control,Control
5,5.597487886945208,269.74791829521104,5.477043401049626,239.138624125884,control,Control
6,5.460078240870001,235.11581931186475,5.397572499411936,220.86960381845012,control,Control
7,5.350774982235172,210.77157881784692,5.347055095214753,209.9889888331202,control,Control
8,5.261252766246205,192.7227767181209,5.311830233899607,202.7209157545528,control,Control
9,5.185709605088363,178.7002113884616,5.28652662233263,197.6556988435566,control,Control
10,5.124384235549759,168.07061787036974,5.261296143827236,192.7311367473022,control,Control
11,5.076616902213234,160.23106059687595,5.243275175833909,189.2890431823134,control,Control
12,5.041979238584444,154.77605079876972,5.230908368027021,186.96255721830687,control,Control
13,5.01603588357672,150.8122798427867,5.226432737066731,186.1276515672808,control,Control
14,5.000602202458339,148.5025607880936,5.223691175170232,185.6180699338285,control,Control
15,4.99248849380981,147.30252921297614,5.2234920914463565,185.5811200754273,control,Control
1,7.181003148977335,1314.225961638159,6.416236720588956,611.6967912384613,gelu2_k1,K=1
2,6.366522852357451,582.030500291511,5.951173079866594,384.20377652480806,gelu2_k1,K=1
3,5.996684344498427,402.0933777068623,5.707221158355055,301.03338082628585,gelu2_k1,K=1
4,5.768778263629376,320.1463591675129,5.563278287443991,260.67600797178426,gelu2_k1,K=1
5,5.592478348182274,268.3999847239466,5.481007621802815,240.08850394522935,gelu2_k1,K=1
6,5.453247612411087,233.51530299448632,5.409548359550926,223.53060941451,gelu2_k1,K=1
7,5.341905648653562,208.91044110194,5.353923358591828,211.43621278318065,gelu2_k1,K=1
8,5.248359531074851,190.25390669697447,5.315765614354015,203.5202715370245,gelu2_k1,K=1
9,5.172695895889541,176.38972540793088,5.280109627594387,196.39140408889344,gelu2_k1,K=1
10,5.11034145460024,165.72693343748043,5.255575067017186,191.63165521832204,gelu2_k1,K=1
11,5.061132175700887,157.76903751624738,5.236901566569086,188.08642536214623,gelu2_k1,K=1
12,5.025465017313009,152.24103437156947,5.227090605787445,186.2501394133504,gelu2_k1,K=1
13,4.999976670706308,148.40969676878714,5.22514770673942,185.88862550102965,gelu2_k1,K=1
14,4.984524939324592,146.13413595225077,5.218462891651463,184.6501385527132,gelu2_k1,K=1
15,4.976314796196236,144.9392655205996,5.218016719932294,184.56777125929523,gelu2_k1,K=1
1,7.169555281544779,1299.2666664392498,6.423097236254229,615.9077749004357,gelu10,gelu10
2,6.392060166472322,597.0854087974429,5.963631642075293,389.0203446317051,gelu10,gelu10
3,6.030943788134016,416.1075614982885,5.725609913231976,306.62021995383395,gelu10,gelu10
4,5.798963449098967,329.95736498508097,5.587045886066281,266.945865275528,gelu10,gelu10
5,5.618696304706188,275.5299418961468,5.48480787965146,241.0026380391922,gelu10,gelu10
6,5.473826017770377,238.3704599171803,5.413854174969333,224.4951660702297,gelu10,gelu10
7,5.356478373368423,211.97712615771985,5.349031413254428,210.40440422113505,gelu10,gelu10
8,5.262163345153992,192.8983459363329,5.3133894631478,203.03725069087093,gelu10,gelu10
9,5.184833647606971,178.54374613982682,5.271689279962178,194.7446629905348,gelu10,gelu10
10,5.121650459049465,167.61177783366367,5.250669783655308,190.69394938502217,gelu10,gelu10
11,5.07208289013995,159.50621550355245,5.232555207147173,187.2707081393894,gelu10,gelu10
12,5.0360528805872775,153.86150515150348,5.22311779126119,185.51167002621364,gelu10,gelu10
13,5.009336219562756,149.8052653347833,5.214072531049603,183.84123484808035,gelu10,gelu10
14,4.993721984364055,147.4843375977877,5.212119784407971,183.48258977957977,gelu10,gelu10
15,4.984600088574908,146.14511823566315,5.211606231216755,183.3883859014874,gelu10,gelu10
1,7.177724082748611,1309.9235854137569,6.417152548649824,612.2572569305505,gelu100,gelu100
2,6.385814986862503,593.3681228182752,5.96746719158256,390.5153166096252,gelu100,gelu100
3,6.034616942886825,417.6387994808928,5.7443934340421325,312.4340584787575,gelu100,gelu100
4,5.811604671306782,334.15490447239534,5.604444588847019,271.63101663383907,gelu100,gelu100
5,5.636336709116842,280.4335249333557,5.497341371660139,244.04225137126275,gelu100,gelu100
6,5.490312336208103,242.33288437312868,5.423706725627782,226.71794812196163,gelu100,gelu100
1,7.194153003521137,1331.621968678685,6.444174411874158,629.0271451899919,gelu101,gelu101
2,6.408155195005647,606.77326955075,5.984691004880136,397.29973860035824,gelu101,gelu101
3,6.045110740147152,422.04449216417777,5.740504630487574,311.2214231800125,gelu101,gelu101
4,5.80415117681086,331.67354163084474,5.582570415669236,265.7538264148848,gelu101,gelu101
5,5.6174305611914335,275.1814122801534,5.484255957268056,240.8696599889558,gelu101,gelu101
1,7.162241556070425,1289.7988514260635,6.411163261713863,608.6012319604009,gelu102,gelu102
2,6.383777416907586,592.1603246634984,5.959992890014009,387.6073683450272,gelu102,gelu102
3,6.026994083072994,414.4673007621365,5.735654376645675,309.7155751013506,gelu102,gelu102
4,5.797284457828853,329.4038342664178,5.581700763599632,265.5228135147209,gelu102,gelu102
5,5.6139585474035245,274.22763534401554,5.481580381584681,240.2260563728664,gelu102,gelu102
6,5.465464935436115,236.38573366783783,5.404981986522246,222.5122122289297,gelu102,gelu102
1,7.142047220891292,1264.013456848826,6.36071048001264,578.6573348510277,gelu103,gelu103
2,6.308924944131643,549.4539375039678,5.885279358878388,359.7032402557929,gelu103,gelu103
1,7.212981037802987,1356.9313076414237,6.48255798738897,653.6408145701962,gelu104,gelu104
2,6.43768603842218,624.9589942738457,6.00045293478579,403.6115618148382,gelu104,gelu104
3,6.064035868192172,430.1077970965815,5.761161632789034,317.71718533864544,gelu104,gelu104
4,5.827564601536159,339.53077861053947,5.609398214162662,272.9799131199285,gelu104,gelu104
5,5.645764160346794,283.0897995893836,5.499678865944829,244.61336596757667,gelu104,gelu104
1,7.17701661884487,1308.9971894948926,6.43244071893084,621.689467033681,gelu105,gelu105
2,6.389258405188104,595.4148593488861,5.954470590501801,385.47278369642055,gelu105,gelu105
3,6.016815963444057,410.2701985298676,5.732040946764062,308.5984591131285,gelu105,gelu105
4,5.793535944703337,328.1713710654649,5.574929076374309,263.7308502255144,gelu105,gelu105
5,5.620290197454371,275.9694572495607,5.482296758267523,240.3982103744569,gelu105,gelu105
1,7.132951486360777,1252.5684552563398,6.346416210493118,570.4446876810099,gelu107,gelu107
2,6.292479782790452,540.4919713165281,5.896848872406545,363.8889986645081,gelu107,gelu107
3,5.946305059171937,382.338009570312,5.6766053414994175,291.95665267326,gelu107,gelu107
4,5.725923839744393,306.716491280391,5.537130095365696,253.94814569394836,gelu107,gelu107
5,5.5560350580053495,258.7946934583872,5.452852388300321,233.4230303518976,gelu107,gelu107
6,5.423373644406741,226.64244520596904,5.380059396103805,217.03516608537032,gelu107,gelu107
7,5.314834787176324,203.3309174786908,5.331097160974187,206.6645941417116,gelu107,gelu107
